cliente;Número de cliente;sistema;¿Qué sistema utiliza para el calentamiento de agua?;InfoComp_ACS;Si utiliza un Sistema de Agua Caliente Centralizado, ¿Posee información completa de ACS?;Alicuota;Si utiliza un Sistema de Agua Caliente Centralizado y tiene la información Completa, ¿Cuál es el valor de la Alicuota?;FCF_0;Si utiliza un Sistema de Agua Caliente Centralizado y tiene la información Completa, ¿Distribuye los gastos de ACS mediante factor de cargo fijo constante?;FCF_1;Si utiliza un Sistema de Agua Caliente Centralizado y tiene la información Completa, ¿distribuye los gastos de ACS mediante precio constante?;FCF_ACS;Si utiliza un Sistema de Agua Caliente Centralizado, tiene la información Completa y distribuye los gastos mediante Factor de cargo fijo Constante, ¿Cuál es su valor?;Precio_CTE_ACS;Precio_CTE_ACS - Variable no válida;ns_0;Si utiliza un Sistema de Agua Caliente Centralizado, tiene la información Completa y distribuye los gastos mediante Factor de cargo fijo Constante, ¿Conoce su valor?;tipo_medidor;Si utiliza un Sistema de Agua Caliente Centralizado y tiene la información Completa, ¿Qué tipo de medidor utiliza para el ACS de su departamento?;mes;Si utiliza un Sistema de Agua Caliente Centralizado, Indique el mes del reporte de los gastos de ACS;ConsumoACS_dpto_m3;Si utiliza un Sistema de Agua Caliente Centralizado y tiene la información Completa, ¿Cuál es el consumo medido en el departamento de ACS en m3?;ConsumoACS_dpto_pesos;Si utiliza un Sistema de Agua Caliente Centralizado, ¿Cuánto es el gasto de su departamento en ACS en pesos?;ConsumoACS_edificio_m3;Si utiliza un Sistema de Agua Caliente Centralizado y tiene la información Completa, ¿Cuál es el consumo medido en el edificio completo de ACS en m3?;ConsumoACS_edificio_pesos;Si utiliza un Sistema de Agua Caliente Centralizado y tiene la información Completa, ¿Cuál es el gasto del edificio en ACS según su consumo en pesos?;GF_prorrateo;Si utiliza un Sistema de Agua Caliente Centralizado, ¿Cuál es el gasto de las calderas a ser distribuído en gastos comunes?;piloto;¿Su calentador tiene llama piloto?;loApaga;Si su calentador de agua tiene llama piloto, ¿Lo apaga cuando no lo utiliza?;ECA;¿Qué energético utiliza para el calentamiento de agua?;optAC_0;¿Utiliza agua caliente para ducharse?;optAC_1;¿Utiliza agua caliente para lavar loza?;optAC_2;¿Utiliza agua caliente para lavar ropa?;habs_0;Si utiliza el agua caliente para ducharse, ¿Cuántas personas entre 0 y 5 años viven en su hogar?;habs_1;Si utiliza el agua caliente para ducharse, ¿Cuántas personas entre 6 y 13 años viven en su hogar?;habs_2;Si utiliza el agua caliente para ducharse, ¿Cuántas personas entre 14 y 25 años viven en su hogar?;habs_3;Si utiliza el agua caliente para ducharse, ¿Cuántas personas entre 26 y 64 años viven en su hogar?;habs_4;Si utiliza el agua caliente para ducharse, ¿Cuántas personas mayores de 65 años viven en su hogar?;daprox_0;Si utiliza el agua caliente para ducharse, ¿Duración aproximada de la ducha para personas entre 0 y 5 años?;daprox_1;Si utiliza el agua caliente para ducharse, ¿Duración aproximada de la ducha para personas entre 6 y 13 años?;daprox_2;Si utiliza el agua caliente para ducharse, ¿Duración aproximada de la ducha para personas entre 14 y 25 años?;daprox_3;Si utiliza el agua caliente para ducharse, ¿Duración aproximada de la ducha para personas entre 26 y 64 años?;daprox_4;Si utiliza el agua caliente para ducharse, ¿Duración aproximada de la ducha para personas mayores de 65 años?;nsnc_0;Si utiliza el agua caliente para ducharse, ¿Sabe cuanto duran las duchas las personas entre 0 y 5 años?;nsnc_1;Si utiliza el agua caliente para ducharse, ¿Sabe cuanto duran las duchas las personas entre 6 y 13 años?;nsnc_2;Si utiliza el agua caliente para ducharse, ¿Sabe cuanto duran las duchas las personas entre 14 y 25 años?;nsnc_3;Si utiliza el agua caliente para ducharse, ¿Sabe cuanto duran las duchas las personas entre 26 y 64 años?;nsnc_4;Si utiliza el agua caliente para ducharse, ¿Sabe cuanto duran las duchas las personas mayores de 65 años?;lavadora;Si utiliza agua caliente para el lavado de ropa, ¿Utiliza lavadora?;ciclo;Si utiliza agua caliente y lavadora para el lavado de ropa, ¿Qué ciclo de lavado usa comúnmente?;regula;¿Cómo regula la temperatura de Agua Caliente?;aireador;Si usa agua caliente para el lavado de loza, ¿Utiliza aireador en la llave del lavaplatos?;EUC;¿Qué Energético usa en la cocina?;EUH;¿Qué Energético usa el el Horno?;tapa;¿Tapa las ollas al hervir agua para cocinar?;Serial;Serial
Valor;el mismo;0;Sist Agua Caliente Centralizado;0;No;Valor;El mismo;0;No;0;No;Valor;El mismo;Valor;El mismo;0;Si;0;No se mide;0;Enero;Valor;El mismo;Valor;El mismo;Valor;El mismo;Valor;El mismo;Valor;El mismo;0;No;0;No;0;Gas Natural;0;No;0;No;0;No;Valor;El mismo;Valor;El mismo;Valor;El mismo;Valor;El mismo;Valor;El mismo;Valor;El mismo;Valor;El mismo;Valor;El mismo;Valor;El mismo;Valor;El mismo;0;No sabe;0;No sabe;0;No sabe;0;No sabe;0;No sabe;0;Si;0;Frío/Tibio;0;Moviendo el regulador;0;Si;0;Gas Natural;0;Gas Natural;0;Sí;;
;;1;Caldera mural;-1;Si;;;-1;Si;-1;Si;;;;;-1;No;1;Horómetro;1;Febrero;;;;;;;;;;;1;Si;1;Si;1;Gas Licuado;1;Si;1;Si;1;Si;;;;;;;;;;;;;;;;;;;;;-1;Si sabe;-1;Si sabe;-1;Si sabe;-1;Si sabe;-1;Si sabe;1;No;1;Caliente/Tibio;1;Con Agua fría;1;No;1;Gas Licuado de Petróleo;1;Gas Licuado de Petróleo;1;No;;
;;2;Calefón;;;;;;;;;;;;;;;2;Medidor de Flujo;2;Marzo;;;;;;;;;;;;;;;2;Electricidad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Caliente/Frío;;;2;No sabe;2;Electricidad;2;Electricidad;2;No Sabe;;
;;3;Termo Eléctrico;;;;;;;;;;;;;;;;;3;Abril;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;Tibio/Tibio;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;4;Mayo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;No sabe/No Contesta;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;5;Junio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;6;Julio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;7;Agosto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;8;Septiembre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;9;Octubre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;10;Noviembre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;11;Diciembre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
