cliente;Número de cliente;nombre;Nombre del Cliente;fecha;Fecha de la encuesta;Direccion;Dirección;num;Número;dpto;Departamento;Comuna;Comuna;Email;E-mail;Superficie;Superficie del departamento;Ns/Nc;¿Conoce la superficie de su departamento?;Color;¿Cómo es el color de su edificio?;ubicacion;Su departamento está ubicado en:;Tamaño;A su juicio las habitaciones son:;dorms;Cantidad de dormitorios;baños;Cantidad de baños;n_habs;Número de habitantes;SE;¿El departamento posee sala de estar?;CD;¿El departamento posee comedor de diario?;Ser;¿El departamento posee sal de servicio?;Esc;¿El departamento posee sala de escritorio?;Serial;Serial
Valor;El mismo;Valor;El mismo;Valor;El mismo;Valor;El mismo;Valor;El mismo;Valor;El mismo;0;Cerrillos;Valor;El mismo;Valor;El mismo;-1;No sabe;0;Oscuro;0;En el primer piso;0;Más chicas de lo normal;Valor;El mismo;Valor;El mismo;Valor;El mismo;-1;Si;-1;Si;-1;Si;-1;Si;;
;;;;;;;;;;;;1;Cerro Navia;;;;;0;N/A;1;Medio;1;En el último piso;1;Normales;;;;;;;0;No;0;No;0;No;0;No;;
;;;;;;;;;;;;2;Colina;;;;;;;2;Claro;2;En un piso intermedio;2;Más grandes de lo normal;;;;;;;;;;;;;;;;
;;;;;;;;;;;;3;Conchalí;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;4;El Bosque;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;5;Estación Central;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;6;Huechuraba;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;7;Independencia;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;8;La Cisterna;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;9;La Florida;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;10;La Granja;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;11;La Pintana;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;12;La Reina;;;;;;;;;;;;;;;;;;;;;;;;;;;;
